YEAR,PAPER,DATE OF REPORT,DATE OF INCIDENT,LOCATION,HEADLINE,LINK
,,"JULY 21, 2019",,,RUGA: Throwing the baby out with the bath water (2),https://www.vanguardngr.com/2019/07/ruga-throwing-the-baby-out-with-the-bath-water-2/
,,"JULY 21, 2019",,,"Fulani: Our grievances against Obasanjo, others; fears in Nigeria — Junaid",https://www.vanguardngr.com/2019/07/fulani-our-grievances-against-obasanjo-others-fears-in-nigeria-junaid/
,,"JULY 21, 2019",,,Fasoranti: Gory tales from ‘death spot’,https://www.vanguardngr.com/2019/07/olakunri-fasoranti-gory-tales-from-death-spot/
,,"JULY 20, 2019",,,Miyetti Allah to South-East governors: We’ll hold you responsible if anything happens to any of our members,https://www.vanguardngr.com/2019/07/shocking-miyetti-allah-threatens-south-east-governors/
,,"JULY 20, 2019",,,"Even when other criminals strike, it is Fulani herdsmen, it is stereotyping – Adesina",https://www.vanguardngr.com/2019/07/even-when-other-criminals-strike-it-is-fulani-herdsmen-it-is-stereotyping-adesina/
,,"JULY 20, 2019",,,"IDPs from herdsmen attacks cry out: We’re suffering, our children are dying",https://www.vanguardngr.com/2019/07/idps-from-herdsmen-attacks-cry-out-were-suffering-our-children-are-dying/
,,"JULY 19, 2019",,,CAN to Miyetti Allah: Nobody hated the Fulani until herders began killing everybody,https://www.vanguardngr.com/2019/07/can-to-miyetti-allah-nobody-hated-the-fulani-until-herders-began-killing-everybody/
,,"JULY 19, 2019",,,Ruga can implode Nigeria – Okorotie,https://www.vanguardngr.com/2019/07/ruga-can-implode-nigeria-okorotie/
,,"JULY 19, 2019",,,"Buhari seeks stringent measures against illicit funds, says they aggravate insecurity in Africa",https://www.vanguardngr.com/2019/07/buhari-seeks-stringent-measures-against-illicit-funds-says-they-aggravate-insecurity-in-africa-2/
,,"JULY 19, 2019","JULY 12, 2019",Benin/Ore/Sagamu Expressway,Killing of Fasoranti’s daughter: My wife’s killers ’ll never know peace – Bereaved husband,https://www.vanguardngr.com/2019/07/killing-of-fasorantis-daughter-my-wifes-killers-ll-never-know-peace-bereaved-husband/
,,"JULY 18, 2019",,,We’ll drive criminally-minded Fulani herdsmen out in Yorubaland – OPC vows,https://www.vanguardngr.com/2019/07/well-drive-criminally-minded-fulani-herdsmen-out-in-yorubaland-opc-vows/
,,"JULY 18, 2019",,,Herders/farmers crisis: PFN urges Nigerians to seek structural re-engineering,https://www.vanguardngr.com/2019/07/herders-farmers-crisis-pfn-urges-nigerians-to-seek-structural-re-engineering/
,,"JULY 18, 2019",,,Police refute clip of herdsmen expulsion in Enugu,https://www.vanguardngr.com/2019/07/police-refute-clip-of-herdsmen-expulsion-in-enugu/
,,"JULY 18, 2019",,,A forced RUGA will break Nigeria — Uzamere,https://www.vanguardngr.com/2019/07/a-forced-ruga-will-break-nigeria-uzamere/
,,"JULY 18, 2019",,,"Fulani herdsmen return call : Fury, as Ohanaeze, Afenifere, other groups bash NEF",https://www.vanguardngr.com/2019/07/fulani-herdsmen-return-call-fury-as-ohanaeze-afenifere-other-groups-bash-nef/
,,"JULY 17, 2019",,,"Breaking: Ignore NEF calls to leave Southern Nigeria, Buhari tells Fulani herdsmen",https://www.vanguardngr.com/2019/07/breaking-ignore-nef-calls-to-leave-southern-nigeria-buhari-tells-fulani-herdsmen/
,,"JULY 17, 2019",,,Tribunal: I was shocked by results from areas under herdsmen attack – Witness,https://www.vanguardngr.com/2019/07/tribunal-i-was-shocked-by-results-from-areas-under-herdsmen-attack-witness/
,,"JULY 17, 2019","JULY 10, 2019","Ibusa community, Oshimili Local Government Area, Delta State",Motorcyclist shot by herdsmen bleeds to death in Delta,https://www.vanguardngr.com/2019/07/motorcyclist-shot-by-herdsmen-bleeds-to-death-in-delta/
,,"JULY 17, 2019",,,Lessons from the RUGA rumpus,https://www.vanguardngr.com/2019/07/lessons-from-the-ruga-rumpus/
,,"JULY 17, 2019",,,Anarchy looms — CAN,https://www.vanguardngr.com/2019/07/anarchy-looms-can/
,,"JULY 16, 2019",,,"Breaking: Northern Elders Forum, CNGs order herdsmen out of South",https://www.vanguardngr.com/2019/07/breaking-northern-elders-forum-cngs-order-herdsmen-out-of-south/
,,"JULY 16, 2019",,,Herdsmen: CAN warns against anarchy in Nigeria,https://www.vanguardngr.com/2019/07/herdsmen-can-warns-against-anarchy-in-nigeria/
,,"JULY 16, 2019",,,Fani-Kayode bombs Miyetti Allah over request to arrest Obasanjo,https://www.vanguardngr.com/2019/07/fani-kayode-bombs-miyetti-allah-over-request-to-arrest-obasanjo/
,,"JULY 16, 2019",,,Shut down Northern borders to stem migration of herdsmen militia into Nigeria – Dr. Ekiyor,https://www.vanguardngr.com/2019/07/shut-down-northern-borders-to-stem-migration-of-herdsmen-militia-into-nigeria-dr-ekiyor/
,,"JULY 16, 2019",,,"Igbo group warns Nigeria may witness Rwanda, Burundi episodes",https://www.vanguardngr.com/2019/07/igbo-group-warns-nigeria-may-witness-rwanda-burundi-episodes/
,,"JULY 16, 2019",,"Alabata, Odeda Local Government Area",3 herdsmen arrested over murder of Ogun farmer,https://www.vanguardngr.com/2019/07/3-herdsmen-arrested-over-murder-of-ogun-farmer/
,,"JULY 16, 2019",,Oguta Local Government Area,Herder caught with sack of bullets in Imo,https://www.vanguardngr.com/2019/07/herder-caught-with-sack-of-bullets-in-imo/
,,"JULY 16, 2019",,,"RUGA, HERDSMEN CRISIS: Situation at hand calls for emergency attention — Onyema",https://www.vanguardngr.com/2019/07/ruga-herdsmen-crisis-situation-at-hand-calls-for-emergency-attention-onyema/
,,"JULY 16, 2019",,,New letter to Buhari on insecurity: Danger ahead if Nigerians resort to self-help,https://www.vanguardngr.com/2019/07/new-letter-to-buhari-on-insecurity-danger-ahead-if-nigerians-resort-to-self-help/
,,"JULY 15, 2019",,,Breaking: Northern groups blast Obasanjo over latest letter to Buhari,https://www.vanguardngr.com/2019/07/breaking-northern-groups-blast-obasanjo-over-latest-letter-to-buhari/
,,"JULY 15, 2019",,,Stop accusing us of killings – Fulani leader,https://www.vanguardngr.com/2019/07/stop-accusing-us-of-killings-fulani-leader/
,,"JULY 15, 2019",,,"Olakunri : Be mindful of your utterances, Presidency warns leaders",https://www.vanguardngr.com/2019/07/olakunris-death-be-mindful-of-potential-consequences-of-your-utterances-presidency-warns-leaders/
,,"JULY 15, 2019",,,"Insecurity, Herdsmen: Restructuring may no longer save Nigeria, referendum is solution – Annkio-Briggs",https://www.vanguardngr.com/2019/07/insecurity-herdsmen-restructuring-may-no-longer-save-nigeria-referendum-is-solution-annkio-briggs/
,,"JULY 15, 2019","JULY 12, 2019",Ore-Akure expressway,Killing of Fasoranti’s Daughter: Herdsmen’ve declared war against S’West — Yoruba leaders,https://www.vanguardngr.com/2019/07/killing-of-fasorantis-daughter-herdsmenve-declared-war-against-swest-yoruba-leaders/
